ticker,date,time,model,status,status_detail,n_pillars,gamma
AAPL,2026-08-14,1430,essvi_gfree,ok,,21,0.5476064115
AAPL,2026-08-14,1430,ssvi,ok,,21,0.5250934286
AAPL,2026-08-14,1445,essvi_gfree,ok,,21,0.5553684667
AAPL,2026-08-14,1445,ssvi,ok,,21,0.5230616462
AAPL,2026-08-14,1500,essvi_gfree,ok,,21,0.5606107747
AAPL,2026-08-14,1500,ssvi,ok,,21,0.5255604454
AAPL,2026-08-14,1515,essvi_gfree,ok,,21,0.5582384206
AAPL,2026-08-14,1515,ssvi,ok,,21,0.5239440899
AAPL,2026-08-14,1530,essvi_gfree,ok,,21,0.5590093474
AAPL,2026-08-14,1530,ssvi,ok,,21,0.5218200290
AAPL,2026-08-14,1545,essvi_gfree,ok,,21,0.5499534373
AAPL,2026-08-14,1545,ssvi,ok,,21,0.5323084891
AAPL,2026-08-14,1600,essvi_gfree,ok,,21,0.5412980711
AAPL,2026-08-14,1600,ssvi,ok,,21,0.5309215194
AAPL,2026-08-17,0930,essvi_gfree,ok,,19,0.5346223183
AAPL,2026-08-17,0930,ssvi,ok,,19,0.5096218805
AAPL,2026-08-17,0945,essvi_gfree,surface_failed,invalid input `option chain`: no expiry of AAPL survived cleaning (dropped: {;unquoted_or_crossed;: 3502}),,
AAPL,2026-08-17,0945,ssvi,surface_failed,invalid input `option chain`: no expiry of AAPL survived cleaning (dropped: {;unquoted_or_crossed;: 3502}),,
AAPL,2026-08-17,1000,essvi_gfree,ok,,19,0.5079234221
AAPL,2026-08-17,1000,ssvi,ok,,19,0.4949988073
AAPL,2026-08-17,1015,essvi_gfree,ok,,20,0.5215305072
AAPL,2026-08-17,1015,ssvi,ok,,20,0.5000968483
AAPL,2026-08-17,1030,essvi_gfree,ok,,20,0.5329195851
AAPL,2026-08-17,1030,ssvi,ok,,20,0.5026275081
AAPL,2026-08-17,1045,essvi_gfree,ok,,20,0.5332223450
AAPL,2026-08-17,1045,ssvi,ok,,20,0.5083189195
AAPL,2026-08-17,1100,essvi_gfree,ok,,20,0.5454655874
AAPL,2026-08-17,1100,ssvi,ok,,20,0.5263049910
AAPL,2026-08-17,1115,essvi_gfree,ok,,20,0.5316563051
AAPL,2026-08-17,1115,ssvi,ok,,20,0.5234418514
AAPL,2026-08-17,1130,essvi_gfree,ok,,20,0.5348249656
AAPL,2026-08-17,1130,ssvi,ok,,20,0.5522627646
AAPL,2026-08-17,1145,essvi_gfree,ok,,20,0.5369077790
AAPL,2026-08-17,1145,ssvi,ok,,20,0.5434931495
AAPL,2026-08-17,1200,essvi_gfree,ok,,20,0.5301534134
AAPL,2026-08-17,1200,ssvi,ok,,20,0.5155344222
AAPL,2026-08-17,1215,essvi_gfree,ok,,20,0.5428111335
AAPL,2026-08-17,1215,ssvi,ok,,20,0.5168448389
AAPL,2026-08-17,1230,essvi_gfree,ok,,21,0.5393005913
AAPL,2026-08-17,1230,ssvi,ok,,21,0.5244679996
AAPL,2026-08-17,1245,essvi_gfree,ok,,21,0.5397809571
AAPL,2026-08-17,1245,ssvi,ok,,21,0.5311418085
AAPL,2026-08-17,1300,essvi_gfree,ok,,21,0.5427833779
AAPL,2026-08-17,1300,ssvi,ok,,21,0.5348148444
AAPL,2026-08-17,1315,essvi_gfree,ok,,21,0.5415981730
AAPL,2026-08-17,1315,ssvi,ok,,21,0.5207635292
AAPL,2026-08-17,1330,essvi_gfree,ok,,21,0.5368888982
AAPL,2026-08-17,1330,ssvi,ok,,21,0.5436938403
AAPL,2026-08-17,1345,essvi_gfree,ok,,21,0.5361286653
AAPL,2026-08-17,1345,ssvi,ok,,21,0.5410712954
AAPL,2026-08-17,1400,essvi_gfree,ok,,20,0.5442153074
AAPL,2026-08-17,1400,ssvi,ok,,20,0.5462600399
AAPL,2026-08-17,1415,essvi_gfree,ok,,20,0.5499119827
AAPL,2026-08-17,1415,ssvi,ok,,20,0.5495121674
AAPL,2026-08-17,1430,essvi_gfree,ok,,20,0.5483427486
AAPL,2026-08-17,1430,ssvi,ok,,20,0.5436329435
AAPL,2026-08-17,1445,essvi_gfree,ok,,20,0.5505602814
AAPL,2026-08-17,1445,ssvi,ok,,20,0.5540461062
AAPL,2026-08-17,1500,essvi_gfree,ok,,20,0.5368088624
AAPL,2026-08-17,1500,ssvi,ok,,20,0.5408936099
AAPL,2026-08-17,1515,essvi_gfree,ok,,20,0.5355385901
AAPL,2026-08-17,1515,ssvi,ok,,20,0.5412069912
AAPL,2026-08-17,1530,essvi_gfree,ok,,21,0.5278696763
AAPL,2026-08-17,1530,ssvi,ok,,21,0.5424502875
AAPL,2026-08-17,1545,essvi_gfree,ok,,20,0.5344478600
AAPL,2026-08-17,1545,ssvi,ok,,20,0.5475407762
AAPL,2026-08-17,1600,essvi_gfree,ok,,20,0.5377661633
AAPL,2026-08-17,1600,ssvi,ok,,20,0.5457413622
AAPL,2026-08-18,0930,essvi_gfree,ok,,20,0.5385121555
AAPL,2026-08-18,0930,ssvi,ok,,20,0.5276815207
AAPL,2026-08-18,0945,essvi_gfree,surface_failed,invalid input `option chain`: no expiry of AAPL survived cleaning (dropped: {;unquoted_or_crossed;: 3500}),,
AAPL,2026-08-18,0945,ssvi,surface_failed,invalid input `option chain`: no expiry of AAPL survived cleaning (dropped: {;unquoted_or_crossed;: 3500}),,
AAPL,2026-08-18,1000,essvi_gfree,ok,,20,0.5270723199
AAPL,2026-08-18,1000,ssvi,ok,,20,0.4946222110
AAPL,2026-08-18,1015,essvi_gfree,ok,,20,0.5296487686
AAPL,2026-08-18,1015,ssvi,ok,,20,0.5059666494
AAPL,2026-08-18,1030,essvi_gfree,ok,,21,0.5078292562
AAPL,2026-08-18,1030,ssvi,ok,,21,0.5296718481
AAPL,2026-08-18,1045,essvi_gfree,ok,,21,0.5165871702
AAPL,2026-08-18,1045,ssvi,ok,,21,0.5186060660
AAPL,2026-08-18,1100,essvi_gfree,ok,,21,0.5269098736
AAPL,2026-08-18,1100,ssvi,ok,,21,0.5317854663
AAPL,2026-08-18,1115,essvi_gfree,ok,,22,0.5209368534
AAPL,2026-08-18,1115,ssvi,ok,,22,0.5269477790
AAPL,2026-08-18,1130,essvi_gfree,ok,,22,0.5246651823
AAPL,2026-08-18,1130,ssvi,ok,,22,0.5471221730
AAPL,2026-08-18,1145,essvi_gfree,ok,,22,0.5293860461
AAPL,2026-08-18,1145,ssvi,ok,,22,0.5286817370
AAPL,2026-08-18,1200,essvi_gfree,ok,,22,0.5349884818
AAPL,2026-08-18,1200,ssvi,ok,,22,0.5169852194
AAPL,2026-08-18,1215,essvi_gfree,ok,,22,0.5436882477
AAPL,2026-08-18,1215,ssvi,ok,,22,0.5345470870
AAPL,2026-08-18,1230,essvi_gfree,ok,,21,0.5336090777
AAPL,2026-08-18,1230,ssvi,ok,,21,0.5605435008
AAPL,2026-08-18,1245,essvi_gfree,ok,,22,0.5295893514
AAPL,2026-08-18,1245,ssvi,ok,,22,0.5499940610
AAPL,2026-08-18,1300,essvi_gfree,ok,,22,0.5330780460
AAPL,2026-08-18,1300,ssvi,ok,,22,0.5619444143
AAPL,2026-08-18,1315,essvi_gfree,ok,,22,0.5418950181
AAPL,2026-08-18,1315,ssvi,ok,,22,0.5584219200
AAPL,2026-08-18,1330,essvi_gfree,ok,,22,0.5395710577
AAPL,2026-08-18,1330,ssvi,ok,,22,0.5505010314
AAPL,2026-08-18,1345,essvi_gfree,ok,,22,0.5394204307
AAPL,2026-08-18,1345,ssvi,ok,,22,0.5602535533
