slice,ticker,date,time,model,status,status_detail,maturity,t,t_beyond_last_pillar,t_below_first_pillar,spot,strike,forward,discount_factor,barrier_type,barrier_dir,barrier_mult,barrier_level,right,pv,std_err,knock_prob,vanilla_pv,vanilla_std_err,ko_over_vanilla,paths,steps,seed
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.9000000000,457.0290000000,P,0.2991851749,0.0123056664,0.7569674966,57.5906745893,0.2414854288,0.0051950281,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.8500000000,431.6385000000,C,52.5520214017,0.4996279707,0.6221847482,63.1009627295,0.4854975151,0.8328243996,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.8500000000,431.6385000000,P,1.5713826903,0.0354857673,0.6221847482,57.5906745893,0.2414854288,0.0272853670,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.0500000000,533.2005000000,C,0.0145352101,0.0017152130,0.8560532183,63.1009627295,0.4854975151,0.0002303485,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.0500000000,533.2005000000,P,20.3915499244,0.2661659316,0.8560532183,57.5906745893,0.2414854288,0.3540772889,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.1000000000,558.5910000000,C,0.1972939390,0.0098200598,0.7230105176,63.1009627295,0.4854975151,0.0031266391,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.1000000000,558.5910000000,P,34.3971453244,0.2979882490,0.7230105176,57.5906745893,0.2414854288,0.5972693595,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.1500000000,583.9815000000,C,0.8506868735,0.0255928403,0.6050178277,63.1009627295,0.4854975151,0.0134813612,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.1500000000,583.9815000000,P,43.6376081002,0.2937217318,0.6050178277,57.5906745893,0.2414854288,0.7577200373,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,none,,,,C,90.7774184583,0.7716240779,,90.7774184583,0.7716240779,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,none,,,,P,79.5045016175,0.2793183722,,79.5045016175,0.2793183722,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.9500000000,482.4195000000,C,25.3090488272,0.5669632122,0.9249649150,90.7774184583,0.7716240779,0.2788033550,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.9500000000,482.4195000000,P,0.0058746504,0.0010497856,0.9249649150,79.5045016175,0.2793183722,0.0000738908,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.9000000000,457.0290000000,C,45.9324048703,0.7061079730,0.8409877415,90.7774184583,0.7716240779,0.5059893270,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.9000000000,457.0290000000,P,0.0941293636,0.0066687792,0.8409877415,79.5045016175,0.2793183722,0.0011839501,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.8500000000,431.6385000000,C,62.5865611328,0.7689258999,0.7475849458,90.7774184583,0.7716240779,0.6894507709,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.8500000000,431.6385000000,P,0.6086148389,0.0221334400,0.7475849458,79.5045016175,0.2793183722,0.0076550991,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.0500000000,533.2005000000,C,0.0045164099,0.0009022237,0.8936694333,90.7774184583,0.7716240779,0.0000497526,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.0500000000,533.2005000000,P,20.5402892990,0.3092923808,0.8936694333,79.5045016175,0.2793183722,0.2583537898,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.1000000000,558.5910000000,C,0.0637937775,0.0053528855,0.7944380253,90.7774184583,0.7716240779,0.0007027494,40000,192,20260824
daily,AMD,2026-08-14,1530,svi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.1000000000,558.5910000000,P,36.2156390257,0.3666450259,0.7944380253,79.5045016175,0.2793183722,0.4555168360,40000,192,20260824
