slice,ticker,date,time,status,status_detail,file,as_of,quote_timestamp,spot,curve_date,n_quotes_raw,n_expiries_raw,n_quotes_used,n_quotes_dropped,drop_unquoted_or_crossed,drop_wide_spread,drop_expiry_window,drop_moneyness_window,drop_in_the_money,drop_vol_out_of_bounds,drop_solver_failed,drop_sparse_expiry,drop_no_forward,n_expiries_used,t_first,t_last,fwd_1M,fwd_3M,fwd_6M,rate_1M,rate_3M,rate_6M,rate_1Y,raw_butterfly_violations,raw_calendar_violations,repair_butterfly_adjustments,repair_calendar_adjustments,repair_dropped_points,repair_max_vol_change,repair_iterations,repair_clean,elapsed_ms
daily,META,2026-08-24,1538,ok,,META/2026-08-24/1538.json.gz,2026-08-24,2026-08-24 19:39:26,560.0750000000,2026-08-21,6882,22,1209,5673,710,794,766,1595,1808,0,0,0,0,19,0.0054794521,1.4109589041,561.6132432270,565.9190102001,572.5057760828,0.0379388111,0.0385996681,0.0391121249,0.0399039828,248,1,295,1,0,0.0110454205,2,true,23751.7671000000
daily,META,2026-08-25,1530,ok,,META/2026-08-25/1530.json.gz,2026-08-25,2026-08-25 19:29:30,565.8701000000,2026-08-24,6664,22,1187,5477,630,777,629,1589,1852,0,0,0,0,20,0.0027397260,1.4082191781,567.7299241349,571.9390547892,578.6980485353,0.0378391324,0.0385022370,0.0392086152,0.0400020080,224,13,260,12,0,0.0424181453,1,true,25210.6856000000
daily,META,2026-08-26,1530,ok,,META/2026-08-26/1530.json.gz,2026-08-26,2026-08-26 19:29:17,578.4900000000,2026-08-25,6836,22,1173,5663,727,820,742,1516,1858,0,0,0,0,19,0.0054794521,1.4054794521,580.4215852336,584.7462474783,592.0622718979,0.0378391324,0.0384048035,0.0391105284,0.0397059348,308,4,354,4,0,0.0769323414,1,true,25574.2406000000
daily,META,2026-08-27,1530,ok,,META/2026-08-27/1530.json.gz,2026-08-27,2026-08-27 19:29:25,570.6150000000,2026-08-26,6660,22,1134,5526,692,840,624,1506,1864,0,0,0,0,20,0.0027397260,1.4027397260,571.8218810077,576.2760683992,582.6942080118,0.0379388111,0.0383073676,0.0390124368,0.0398014811,265,9,289,9,0,0.0317071857,1,true,23024.0175000000
daily,QQQ,2026-08-14,1530,ok,,QQQ/2026-08-14/1530.json.gz,2026-08-14,2026-08-14 19:29:25,729.6350000000,2026-08-13,12738,34,4008,8730,620,1248,880,741,5241,0,0,0,0,31,0.0082191781,1.4383561644,732.0536643701,736.5658144278,744.2799732670,0.0378391324,0.0385038441,0.0390124368,0.0390923758,1025,58,1797,78,0,0.1637522239,2,true,26650.1196000000
daily,QQQ,2026-08-17,1530,ok,,QQQ/2026-08-17/1530.json.gz,2026-08-17,2026-08-17 19:29:29,729.8300000000,2026-08-14,12632,33,3777,8855,818,1221,885,739,5192,0,0,0,0,30,0.0027397260,1.4301369863,732.4236029175,736.9666268149,744.7773899236,0.0378391323,0.0384064106,0.0391089318,0.0394088634,954,104,1674,124,0,0.1739462230,2,true,30679.6217000000
daily,QQQ,2026-08-18,1530,ok,,QQQ/2026-08-18/1530.json.gz,2026-08-18,2026-08-18 19:29:31,717.2510000000,2026-08-17,12268,33,3707,8561,816,1097,881,734,5033,0,0,0,0,30,0.0027397260,1.4273972603,719.8489509577,724.2732364075,731.9907644411,0.0378391324,0.0385054512,0.0391105284,0.0396069109,968,102,1643,140,0,0.3690591600,2,true,28998.7248000000
daily,QQQ,2026-08-19,1530,ok,,QQQ/2026-08-19/1530.json.gz,2026-08-19,2026-08-19 19:29:26,716.7800000000,2026-08-18,12194,33,3670,8524,779,1104,867,760,5014,0,0,0,0,30,0.0027397260,1.4246575342,719.3627633148,723.8122928219,731.4077697281,0.0377394528,0.0384080177,0.0390124368,0.0395088736,917,88,1545,115,0,0.2612296703,2,true,29560.5591000000
daily,QQQ,2026-08-20,1530,ok,,QQQ/2026-08-20/1530.json.gz,2026-08-20,2026-08-20 19:29:16,710.4250000000,2026-08-19,12152,33,3707,8445,779,1049,883,741,4993,0,0,0,0,30,0.0027397260,1.4219178082,712.8522092237,717.3614885511,725.0442329270,0.0376397724,0.0384064106,0.0390124368,0.0396034947,943,86,1541,106,0,0.2319244213,2,true,30170.6361000000
daily,QQQ,2026-08-21,1530,ok,,QQQ/2026-08-21/1530.json.gz,2026-08-21,2026-08-21 19:29:17,713.2900000000,2026-08-20,12020,32,3631,8389,752,1117,917,698,4905,0,0,0,0,29,0.0082191781,1.4191780822,715.4838047800,720.1442979153,727.8621809524,0.0379388111,0.0385006299,0.0390124368,0.0392914356,900,89,1495,100,0,0.1920468374,2,true,28801.3305000000
daily,QQQ,2026-08-24,1538,ok,,QQQ/2026-08-24/1538.json.gz,2026-08-24,2026-08-24 19:38:26,707.8700000000,2026-08-21,11514,31,3367,8147,777,1104,836,679,4751,0,0,0,0,28,0.0027397260,1.4109589041,709.8927158314,714.8289361913,722.4139114189,0.0379388111,0.0385996681,0.0391121249,0.0399039828,836,63,1386,75,0,0.1341328518,2,true,29836.3042000000
daily,QQQ,2026-08-25,1530,ok,,QQQ/2026-08-25/1530.json.gz,2026-08-25,2026-08-25 19:29:32,709.6550000000,2026-08-24,11588,32,3412,8176,790,1062,829,712,4783,0,0,0,0,29,0.0027397260,1.4082191781,711.5198958127,716.5297176947,724.4808962104,0.0378391324,0.0385022370,0.0392086152,0.0400020080,852,121,1391,156,0,0.2205984248,2,true,29743.9416000000
daily,QQQ,2026-08-26,1530,ok,,QQQ/2026-08-26/1530.json.gz,2026-08-26,2026-08-26 19:29:25,712.1701000000,2026-08-25,11594,32,3431,8163,781,1094,840,664,4784,0,0,0,0,29,0.0027397260,1.4054794521,713.9555505607,718.9867985833,726.9105069503,0.0378391324,0.0384048035,0.0391105284,0.0397059348,870,84,1412,109,0,0.1654760855,2,true,23539.6414000000
daily,QQQ,2026-08-27,1530,ok,,QQQ/2026-08-27/1530.json.gz,2026-08-27,2026-08-27 19:29:21,718.8900000000,2026-08-26,11658,33,3418,8240,815,1115,831,682,4797,0,0,0,0,30,0.0027397260,1.4027397260,720.6062589565,725.7997326847,733.6312148842,0.0379388111,0.0383073676,0.0390124368,0.0398014811,835,102,1375,154,0,0.2728492020,2,true,20487.3640000000
daily,SPY,2026-08-14,1530,ok,,SPY/2026-08-14/1530.json.gz,2026-08-14,2026-08-14 19:29:31,776.1300000000,2026-08-13,14588,35,4710,9878,683,779,1145,1459,5812,0,0,0,0,32,0.0082191781,1.4383561644,778.4465383473,782.3933896837,789.6562110073,0.0378391324,0.0385038441,0.0390124368,0.0390923758,890,109,3686,323,0,0.0432857780,8,false,30437.6476000000
daily,SPY,2026-08-17,1530,ok,,SPY/2026-08-17/1530.json.gz,2026-08-17,2026-08-17 19:29:26,773.2300000000,2026-08-14,14546,34,4487,10059,871,796,1177,1456,5759,0,0,0,0,31,0.0027397260,1.4301369863,775.1880850356,779.5358475107,786.7860088919,0.0378391323,0.0384064106,0.0391089318,0.0394088634,846,102,3345,283,0,0.0467407777,8,false,32924.8748000000
