slice,ticker,date,time,model,status,status_detail,slice_index,expiry_date,tenor_years,forward,n_quotes_raw,n_quotes_used,fit_rmse_vol_bp,fit_max_err_bp,lib_rmse_vol_bp,fit_vol_min,fit_vol_max,pillar_vol_min,pillar_vol_max,converged,min_butterfly_g,k_lo,k_hi,n_slices_fitted,n_slices_skipped,self_validates,svi_a,svi_b,svi_rho,svi_m,svi_sigma,ssvi_rho,ssvi_eta,ssvi_gamma,ssvi_theta,ssvi_phi,essvi_theta,essvi_psi,essvi_rho,essvi_eta,essvi_gamma,essvi_tube_clamped
daily,AMD,2026-08-14,1530,svi,ok,,17,2027-06-17,0.8410958904,527.8277115326,256,53,9.3993994265,27.0350591611,9.3993994265,0.6177486714,0.6293127686,0.6162049871,0.6292384627,true,0.9692788467,-0.5004489307,0.4646319653,21,0,true,0.2708734541,2.3957421753,-0.9850634909,-0.9180126425,0.1214434232,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,18,2027-09-17,1.0931506849,534.3015052839,256,53,9.9784538225,28.1729778103,9.9784538225,0.6206716036,0.6316064726,0.6180288265,0.6334702252,true,0.9723217304,-0.4818676418,0.4642760532,21,0,true,0.3964890106,0.0777855946,-0.5350509245,-0.4758642505,0.3747810338,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,19,2027-12-17,1.3424657534,539.8878958215,264,54,8.4482838043,20.9615059856,8.4482838043,0.6240865520,0.6336170322,0.6234953578,0.6337250833,true,0.9688827180,-0.4922688632,0.4655708716,21,0,true,0.5227782500,0.0283330587,-0.1727596374,-0.2248478043,0.0001000000,,,,,,,,,,,
daily,AMD,2026-08-14,1530,svi,ok,,20,2028-01-21,1.4383561644,542.6330131041,264,54,8.3458868799,21.7927807892,8.3458868799,0.6267863977,0.6333845604,0.6257373436,0.6352450976,true,0.9995489779,-0.4973405863,0.4604991484,21,0,true,0.5226634080,1.4002045093,0.9861044316,0.9675008922,0.1823205556,,,,,,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,0,2026-08-17,0.0082191781,508.0099500508,328,32,183.3500727276,445.1184197303,189.6522720149,0.3853563845,0.5529800467,0.3840464542,0.5710369262,true,0.4134348820,-0.1212534513,0.0794172441,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0012216381,25.7831651477,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,1,2026-08-19,0.0136986301,507.9323274037,330,54,173.0503804656,358.4994903284,189.6522720149,0.4947787525,0.6147860298,0.4919338647,0.6284018018,true,0.5318332107,-0.1435734980,0.1196645105,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0033591597,13.6484300795,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,2,2026-08-21,0.0191780822,508.1960934674,314,62,467.6893133670,2420.5993060890,189.6522720149,0.5349721265,0.8648049133,0.5325569851,1.1068648439,true,0.3667927110,-0.4317747294,0.2461049790,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0054974451,10.0085931812,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,3,2026-08-24,0.0273972603,508.7607553141,288,60,332.5033690903,1636.2431266371,189.6522720149,0.4948068430,0.7624452570,0.4831060747,0.9260695697,true,0.3851033278,-0.4317747294,0.2461049790,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0067186316,8.8197952328,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,4,2026-08-26,0.0328767123,508.4352955479,232,47,211.5825534514,931.3449747561,189.6522720149,0.5208372380,0.7522474911,0.5175298362,0.8453819886,true,0.4159550360,-0.4317747294,0.1655916936,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0089335232,7.3685731791,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,5,2026-08-28,0.0383561644,508.8335545612,350,70,250.8252380547,824.7992027802,189.6522720149,0.5542729008,0.7055021201,0.5496504887,0.7879820404,true,0.5075290975,-0.3460169268,0.2899718399,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0118016005,6.1798559709,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,6,2026-09-04,0.0575342466,509.2354741626,330,66,260.6847805021,1139.3041412983,189.6522720149,0.5557578777,0.7075303298,0.5498121269,0.8214607440,true,0.5078098314,-0.4490853484,0.3871626758,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0178003008,4.7634256553,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,7,2026-09-11,0.0767123288,509.6112167813,332,77,215.8833880954,927.1659175593,189.6522720149,0.5436254109,0.6698423451,0.5432958397,0.7625589369,true,0.5421944139,-0.4653271192,0.3593964192,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0227088433,4.0804822119,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,8,2026-09-18,0.0958904110,510.0009927818,264,49,223.2121108686,748.3904993631,189.6522720149,0.5506161871,0.6745635207,0.5499087176,0.7273986507,true,0.5763111020,-0.4660916766,0.4626215753,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0291196969,3.4823657825,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,9,2026-09-25,0.1150684932,510.1818459224,332,81,128.8157439866,641.5151532731,189.6522720149,0.5554417974,0.6492118354,0.5545723877,0.7133633507,true,0.6121363840,-0.4981949253,0.3853059837,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0355593721,3.0645721825,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,10,2026-10-02,0.1342465753,511.2189591675,332,62,74.3802974614,180.9163011903,189.6522720149,0.5631479153,0.6423544984,0.5585285030,0.6604461285,true,0.6524766484,-0.4981949253,0.3698521962,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0426458679,2.7270822726,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,11,2026-10-16,0.1726027397,511.6731871945,218,47,100.1909726999,403.1698181717,189.6522720149,0.5675833000,0.6383808372,0.5667581550,0.6684688511,true,0.7115842221,-0.5011138175,0.4593481327,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0556938294,2.2954920618,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,12,2026-11-20,0.2684931507,513.8530313386,226,52,41.4066948418,89.4758298817,189.6522720149,0.6065113599,0.6504541533,0.6015448569,0.6478789337,true,0.8251203742,-0.5053649958,0.4673670469,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.0989322677,1.5763993312,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,13,2026-12-18,0.3452054795,515.5304719398,264,52,29.0508568951,63.4022614529,189.6522720149,0.6030616497,0.6366980944,0.6006493184,0.6334020104,true,0.8683507813,-0.5086241157,0.4641079271,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.1257513729,1.3438207804,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,14,2027-01-15,0.4219178082,517.8969866033,264,51,16.5519832882,47.2842349184,189.6522720149,0.5992226427,0.6261649003,0.5981126344,0.6251912434,true,0.8986883793,-0.4814553591,0.4595279853,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.1517504567,1.1841073768,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,15,2027-02-19,0.5178082192,520.2379256292,158,52,17.2288572072,32.9850315052,189.6522720149,0.6065324578,0.6283879398,0.6055293664,0.6279191312,true,0.9243981736,-0.4859652604,0.4671394446,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.1908136575,1.0127970385,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,16,2027-03-19,0.5945205479,522.1495380473,248,48,15.9514212801,39.7318230756,189.6522720149,0.6115931244,0.6299718695,0.6101448804,0.6299400411,true,0.9422894597,-0.4896330224,0.4634716826,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.2227517992,0.9099821916,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,17,2027-06-17,0.8410958904,527.8277115326,256,53,15.7190386396,37.6097025740,189.6522720149,0.6191835890,0.6315965907,0.6162049871,0.6292384627,true,0.9718599739,-0.5004489307,0.4646319653,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.3230105856,0.6997361757,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,18,2027-09-17,1.0931506849,534.3015052839,256,53,15.4288948708,35.8666139981,189.6522720149,0.6214749259,0.6307244330,0.6180288265,0.6334702252,true,0.9863758236,-0.4818676418,0.4642760532,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.4229197623,0.5749947095,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,19,2027-12-17,1.3424657534,539.8878958215,264,54,20.7018555392,35.1719872800,189.6522720149,0.6249484196,0.6323198077,0.6234953578,0.6337250833,true,0.9942903521,-0.4922688632,0.4655708716,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.5251972802,0.4890710109,,,,,,
daily,AMD,2026-08-14,1530,ssvi,ok,,20,2028-01-21,1.4383561644,542.6330131041,264,54,9.6280007045,22.2982910160,189.6522720149,0.6265235182,0.6332381976,0.6257373436,0.6352450976,true,0.9970633254,-0.4973405863,0.4604991484,21,0,true,,,,,,0.0410503001,0.3818507097,0.6280823095,0.5655506566,0.4623402673,,,,,,
daily,AMD,2026-08-14,1530,essvi,ok,,0,2026-08-17,0.0082191781,508.0099500508,328,32,94.3309145909,402.6082990996,94.3309145909,0.3855794855,0.5307760963,0.3840464542,0.5710369262,true,0.4531940124,-0.1212534513,0.0794172441,21,0,true,,,,,,,,,,,0.0012216381,0.0259892754,-0.0069089921,,,
daily,AMD,2026-08-14,1530,essvi,ok,,1,2026-08-19,0.0136986301,507.9323274037,330,54,85.2776930056,289.6799454304,85.2776930056,0.4952086400,0.5994338073,0.4919338647,0.6284018018,true,0.5786404653,-0.1435734980,0.1196645105,21,0,true,,,,,,,,,,,0.0033591597,0.0384349524,-0.0029801128,,,
daily,AMD,2026-08-14,1530,essvi,ok,,2,2026-08-21,0.0191780822,508.1960934674,314,62,377.0967798757,1727.8106044592,377.0967798757,0.5337885502,0.9340837835,0.5325569851,1.1068648439,true,0.3542087291,-0.4317747294,0.2461049790,21,0,true,,,,,,,,,,,0.0054974451,0.0579200412,-0.0779070542,,,
daily,AMD,2026-08-14,1530,essvi,ok,,3,2026-08-24,0.0273972603,508.7607553141,288,60,275.0571469413,1217.1679792894,275.0571469413,0.4940774105,0.8043527718,0.4831060747,0.9260695697,true,0.3785234454,-0.4317747294,0.2461049790,21,0,true,,,,,,,,,,,0.0067186316,0.0594892516,-0.0679183394,,,
daily,AMD,2026-08-14,1530,essvi,ok,,4,2026-08-26,0.0328767123,508.4352955479,232,47,204.9425668990,753.6748892466,204.9425668990,0.5211925800,0.7700144997,0.5175298362,0.8453819886,true,0.4072480954,-0.4317747294,0.1655916936,21,0,true,,,,,,,,,,,0.0089335232,0.0682149809,0.0190757989,,,
daily,AMD,2026-08-14,1530,essvi,ok,,5,2026-08-28,0.0383561644,508.8335545612,350,70,191.6856563234,583.4531050023,191.6856563234,0.5541885551,0.7296367299,0.5496504887,0.7879820404,true,0.4994005149,-0.3460169268,0.2899718399,21,0,true,,,,,,,,,,,0.0118016005,0.0718162712,-0.0431376262,,,
daily,AMD,2026-08-14,1530,essvi,ok,,6,2026-09-04,0.0575342466,509.2354741626,330,66,204.2475025180,806.9119646945,204.2475025180,0.5558310604,0.7407695475,0.5498121269,0.8214607440,true,0.4878588814,-0.4490853484,0.3871626758,21,0,true,,,,,,,,,,,0.0178003008,0.0875482350,-0.0394109459,,,
daily,AMD,2026-08-14,1530,essvi,ok,,7,2026-09-11,0.0767123288,509.6112167813,332,77,148.8792602903,623.4150978715,148.8792602903,0.5435686384,0.7002174271,0.5432958397,0.7625589369,true,0.5204591947,-0.4653271192,0.3593964192,21,0,true,,,,,,,,,,,0.0227088433,0.0950586789,-0.0434777527,,,
daily,AMD,2026-08-14,1530,essvi,ok,,8,2026-09-18,0.0958904110,510.0009927818,264,49,123.0194723272,456.9879236634,123.0194723272,0.5501872405,0.6816998583,0.5499087176,0.7273986507,true,0.5681323553,-0.4660916766,0.4626215753,21,0,true,,,,,,,,,,,0.0291196969,0.1022664996,-0.0574339573,,,
daily,AMD,2026-08-14,1530,essvi,ok,,9,2026-09-25,0.1150684932,510.1818459224,332,81,96.1828337276,467.5195850883,96.1828337276,0.5558493587,0.6666113922,0.5545723877,0.7133633507,true,0.5946994720,-0.4981949253,0.3853059837,21,0,true,,,,,,,,,,,0.0355593721,0.1104834958,-0.0138792399,,,
daily,AMD,2026-08-14,1530,essvi,ok,,10,2026-10-02,0.1342465753,511.2189591675,332,62,62.5683261653,279.8880905735,62.5683261653,0.5633058591,0.6324573195,0.5585285030,0.6604461285,true,0.6832638508,-0.4981949253,0.3698521962,21,0,true,,,,,,,,,,,0.0426458679,0.1054579042,0.0339363010,,,
daily,AMD,2026-08-14,1530,essvi,ok,,11,2026-10-16,0.1726027397,511.6731871945,218,47,75.1554569778,282.2996327662,75.1554569778,0.5680509793,0.6402388879,0.5667581550,0.6684688511,true,0.6928885821,-0.5011138175,0.4593481327,21,0,true,,,,,,,,,,,0.0556938294,0.1295055948,-0.0027005950,,,
daily,AMD,2026-08-14,1530,essvi,ok,,12,2026-11-20,0.2684931507,513.8530313386,226,52,35.7017388775,129.5684557642,35.7017388775,0.6064519934,0.6465650578,0.6015448569,0.6478789337,true,0.8397275515,-0.5053649958,0.4673670469,21,0,true,,,,,,,,,,,0.0989322677,0.1458592076,0.0437067021,,,
daily,AMD,2026-08-14,1530,essvi,ok,,13,2026-12-18,0.3452054795,515.5304719398,264,52,26.3538899212,79.0173158603,26.3538899212,0.6029587288,0.6346142811,0.6006493184,0.6334020104,true,0.8768030924,-0.5086241157,0.4641079271,21,0,true,,,,,,,,,,,0.1257513729,0.1605222461,0.0444879384,,,
daily,AMD,2026-08-14,1530,essvi,ok,,14,2027-01-15,0.4219178082,517.8969866033,264,51,11.4930538901,35.0979431517,11.4930538901,0.5989069192,0.6252367125,0.5981126344,0.6251912434,true,0.9037015256,-0.4814553591,0.4595279853,21,0,true,,,,,,,,,,,0.1517504567,0.1691175310,0.0522003730,,,
daily,AMD,2026-08-14,1530,essvi,ok,,15,2027-02-19,0.5178082192,520.2379256292,158,52,12.1552114120,28.3080468097,12.1552114120,0.6061250282,0.6305039123,0.6055293664,0.6279191312,true,0.9181800082,-0.4859652604,0.4671394446,21,0,true,,,,,,,,,,,0.1908136575,0.1947411830,0.0551049213,,,
daily,AMD,2026-08-14,1530,essvi,ok,,16,2027-03-19,0.5945205479,522.1495380473,248,48,13.2643472185,42.2627600006,13.2643472185,0.6112117875,0.6304161443,0.6101448804,0.6299400411,true,0.9412617586,-0.4896330224,0.4634716826,21,0,true,,,,,,,,,,,0.2227517992,0.1951843236,0.0540757180,,,
daily,AMD,2026-08-14,1530,essvi,ok,,17,2027-06-17,0.8410958904,527.8277115326,256,53,11.1474079803,35.0775284576,11.1474079803,0.6187357127,0.6300374166,0.6162049871,0.6292384627,true,0.9745204184,-0.5004489307,0.4646319653,21,0,true,,,,,,,,,,,0.3230105856,0.1911583864,0.0559742662,,,
daily,AMD,2026-08-14,1530,essvi,ok,,18,2027-09-17,1.0931506849,534.3015052839,256,53,11.5686642248,30.6749775542,11.5686642248,0.6209164074,0.6326304328,0.6180288265,0.6334702252,true,0.9808748913,-0.4818676418,0.4642760532,21,0,true,,,,,,,,,,,0.4229197623,0.2507552865,0.0589631508,,,
daily,AMD,2026-08-14,1530,essvi,ok,,19,2027-12-17,1.3424657534,539.8878958215,264,54,16.0743070471,30.6756426890,16.0743070471,0.6248797741,0.6353566031,0.6234953578,0.6337250833,true,0.9919840794,-0.4922688632,0.4655708716,21,0,true,,,,,,,,,,,0.5251972802,0.3200955985,0.0436204504,,,
daily,AMD,2026-08-14,1530,essvi,ok,,20,2028-01-21,1.4383561644,542.6330131041,264,54,8.8989506217,28.1140130731,8.8989506217,0.6266636147,0.6324336962,0.6257373436,0.6352450976,true,0.9982974379,-0.4973405863,0.4604991484,21,0,true,,,,,,,,,,,0.5655506566,0.2492520280,0.0351463697,,,
